Malta|Maltese|English|
Brunei Darussalam|Malay||
Bosnia Herzegovina|Bosnian||
Maldives|Dhivehi||
Northern Mariana I|English||
Suriname|Dutch||
Anguilla|English||
Venezuela|Spanish||
Israel|Hebrew|Arabic|
Indonesia|Malay||
Mauritania|Arabic||
Iceland|Icelandic||
Zambia|English||
Senegal|Wolof||
Papua New Guinea|English||
Trinidad & Tobago|English||
Zimbabwe|English||
Jordan|Arabic||
Vanuatu|Bislama|English|French
Martinique|French||
Kazakhstan|Kazakh||
Poland|Polish||
Eritrea|Tigrinja||
Kyrgyzstan|Kirgiz|Russian|
Northern Ireland|Irish|English|
Mayotte|French||
Montserrat|English||
New Caledonia|French||
Macedonia|Macedonian||
North Korea|Korean||
Sri Lanka|Singali|Tamil|
Latvia|Latvian||
South Sudan|Arabic||
Hungary|Hungarian||
Syria|Arabic||
Guadeloupe|French||
Honduras|Spanish||
Myanmar|Burmese||
Morocco|Arabic||
Egypt|Arabic||
Ethiopia|Amharic||
Singapore|Chinese|Malay|Tamil
Serbia|Serbian||
United Kingdom|English||
Christmas Island|English||
Yugoslavia|Serbo-Croatian||
Greece|Greek||
Paraguay|Spanish|Guarani|
Fiji|Fijian||
Guinea|French||
Comoros|Comorian||
Niue|English||
